university_id,university_name,country,region,year,subject_area,total_students,international_students,academic_staff,student_faculty_ratio,international_student_pct,publications_count,citations_count,academic_reputation_score,employer_reputation_score,faculty_student_score,citations_per_faculty,intl_faculty_ratio,sustainability_score,employment_outcomes_score,the_teaching_score,the_research_environment,the_research_quality,the_industry_score,the_international_outlook,raw_overall_score,source_qs,source_the,rank
UNIV_062357,"University of California, Berkeley",United States,North America,2020,Social Sciences & Management,11032,2316,1361,8.8,19.1,146578,469049,92.9,93.6,75.4,100.0,23.9,76.1,94.9,84,87.8,95.0,89.4,28.7,85.3,QS World University Rankings,Times Higher Education World University Rankings,10
UNIV_062357,"University of California, Berkeley",United States,North America,2021,Social Sciences & Management,11032,2316,1361,8.4,19.3,153970,515799,94.4,90.9,76.5,100.0,24.1,77.0,84.0,85,90.1,95.0,66.9,29.0,86.7,QS World University Rankings,Times Higher Education World University Rankings,10
UNIV_062357,"University of California, Berkeley",United States,North America,2022,Social Sciences & Management,11032,2316,1361,8.4,20.4,162138,567483,95.8,96.1,76.5,100.0,25.5,86.5,91.7,86,95.3,95.0,43.8,30.6,87.9,QS World University Rankings,Times Higher Education World University Rankings,10
UNIV_062357,"University of California, Berkeley",United States,North America,2023,Social Sciences & Management,11032,2316,1361,8.3,20.6,170178,621149,97.8,90.1,76.8,100.0,25.8,80.2,81.8,87,98.0,95.0,81.6,30.9,89.8,QS World University Rankings,Times Higher Education World University Rankings,10
UNIV_062357,"University of California, Berkeley",United States,North America,2024,Social Sciences & Management,11032,2316,1361,8.1,21.0,178944,679987,98.5,91.6,77.3,100.0,26.2,80.2,87.7,88,97.7,95.0,48.0,31.5,90.5,QS World University Rankings,Times Higher Education World University Rankings,10
UNIV_117416,University of Chicago,United States,North America,2020,Arts & Humanities,14853,4604,2750,5.9,29.1,89877,287606,90.0,89.9,83.5,100.0,36.4,78.9,89.3,87,89.8,95.0,47.0,43.7,84.1,QS World University Rankings,Times Higher Education World University Rankings,11
UNIV_117416,University of Chicago,United States,North America,2021,Arts & Humanities,14853,4604,2750,5.9,29.6,95176,318839,91.2,93.6,83.5,100.0,37.0,79.4,88.4,87,87.9,95.0,48.4,44.4,85.2,QS World University Rankings,Times Higher Education World University Rankings,12
UNIV_117416,University of Chicago,United States,North America,2022,Arts & Humanities,14853,4604,2750,5.7,30.0,99949,349821,93.3,90.0,84.0,100.0,37.5,82.1,84.5,89,89.1,95.0,47.9,45.0,87.2,QS World University Rankings,Times Higher Education World University Rankings,11
UNIV_117416,University of Chicago,United States,North America,2023,Arts & Humanities,14853,4604,2750,5.5,30.5,104407,381085,94.8,92.4,84.6,100.0,38.1,80.1,87.1,90,89.8,95.0,63.5,45.8,88.6,QS World University Rankings,Times Higher Education World University Rankings,11
UNIV_117416,University of Chicago,United States,North America,2024,Arts & Humanities,14853,4604,2750,5.4,31.1,110453,419721,96.0,99.7,84.9,100.0,38.9,90.1,100.0,90,96.2,95.0,88.1,46.7,89.7,QS World University Rankings,Times Higher Education World University Rankings,12
UNIV_797741,University of Pennsylvania,United States,North America,2020,Social Sciences & Management,34141,7852,5690,6.6,21.5,110771,354467,89.4,85.5,81.5,100.0,26.9,71.7,86.5,85,88.2,95.0,56.4,32.2,83.7,QS World University Rankings,Times Higher Education World University Rankings,12
UNIV_797741,University of Pennsylvania,United States,North America,2021,Social Sciences & Management,34141,7852,5690,6.5,21.6,116908,391641,91.6,91.4,81.8,100.0,27.0,79.2,85.6,87,86.2,95.0,85.8,32.4,85.8,QS World University Rankings,Times Higher Education World University Rankings,11
UNIV_797741,University of Pennsylvania,United States,North America,2022,Social Sciences & Management,34141,7852,5690,6.6,22.0,122964,430374,92.8,95.7,81.5,100.0,27.5,74.4,95.0,87,87.6,95.0,42.1,33.0,86.9,QS World University Rankings,Times Higher Education World University Rankings,12
UNIV_797741,University of Pennsylvania,United States,North America,2023,Social Sciences & Management,34141,7852,5690,6.2,22.5,128579,469313,94.3,87.1,82.6,100.0,28.1,75.8,84.8,88,94.7,95.0,64.1,33.8,88.3,QS World University Rankings,Times Higher Education World University Rankings,12
UNIV_797741,University of Pennsylvania,United States,North America,2024,Social Sciences & Management,34141,7852,5690,5.9,23.1,135692,515629,96.2,95.6,83.5,100.0,28.9,87.9,94.5,90,95.2,95.0,93.3,34.7,90.1,QS World University Rankings,Times Higher Education World University Rankings,11
UNIV_006172,Cornell University,United States,North America,2020,Life Sciences & Medicine,15299,3977,2124,7.7,24.3,104986,335955,89.4,86.3,78.4,100.0,30.4,84.0,85.0,84,84.3,95.0,70.1,36.5,83.7,QS World University Rankings,Times Higher Education World University Rankings,12
UNIV_006172,Cornell University,United States,North America,2021,Life Sciences & Medicine,15299,3977,2124,7.8,24.5,111385,373139,90.7,87.1,78.2,100.0,30.6,77.6,82.8,84,86.3,95.0,85.7,36.8,84.9,QS World University Rankings,Times Higher Education World University Rankings,16
UNIV_006172,Cornell University,United States,North America,2022,Life Sciences & Medicine,15299,3977,2124,7.5,24.8,115925,405737,91.6,90.3,79.0,100.0,31.0,89.3,90.9,85,87.3,95.0,66.0,37.2,85.8,QS World University Rankings,Times Higher Education World University Rankings,16
UNIV_006172,Cornell University,United States,North America,2023,Life Sciences & Medicine,15299,3977,2124,7.2,25.6,122199,446026,93.8,87.6,79.8,100.0,32.0,87.7,86.9,87,95.4,95.0,82.5,38.4,87.9,QS World University Rankings,Times Higher Education World University Rankings,13
UNIV_006172,Cornell University,United States,North America,2024,Life Sciences & Medicine,15299,3977,2124,7.1,25.9,128302,487547,94.6,97.1,80.1,100.0,32.4,92.9,88.4,87,95.4,95.0,61.5,38.8,88.6,QS World University Rankings,Times Higher Education World University Rankings,13
UNIV_372636,Lund Catholic University,France,Europe,2020,Life Sciences & Medicine,27390,9723,1670,17.0,33.6,887,2838,83.8,77.2,52.4,15.0,42.0,77.3,70.2,68,81.5,20.0,42.2,50.4,82.9,QS World University Rankings,Times Higher Education World University Rankings,24
UNIV_372636,Lund Catholic University,France,Europe,2021,Life Sciences & Medicine,27390,9723,1670,16.9,34.3,1149,3849,84.6,85.4,52.7,15.0,42.9,74.8,77.6,69,84.4,20.0,61.5,51.4,83.7,QS World University Rankings,Times Higher Education World University Rankings,39
UNIV_372636,Lund Catholic University,France,Europe,2022,Life Sciences & Medicine,27390,9723,1670,16.6,34.9,1290,4515,86.2,87.0,53.5,15.0,43.6,87.8,78.8,70,84.6,20.0,41.8,52.3,85.2,QS World University Rankings,Times Higher Education World University Rankings,29
UNIV_372636,Lund Catholic University,France,Europe,2023,Life Sciences & Medicine,27390,9723,1670,16.6,35.0,2024,7387,86.8,86.4,53.5,15.0,43.8,89.0,85.6,70,82.3,20.0,52.7,52.5,85.8,QS World University Rankings,Times Higher Education World University Rankings,57
UNIV_372636,Lund Catholic University,France,Europe,2024,Life Sciences & Medicine,27390,9723,1670,16.1,35.4,1014,3853,88.9,92.0,54.9,15.0,44.2,82.3,91.5,72,90.3,20.0,88.2,53.1,87.9,QS World University Rankings,Times Higher Education World University Rankings,29
UNIV_372973,Guangzhou Catholic University,Germany,Europe,2020,Social Sciences & Management,15720,4684,770,20.8,28.0,-551,-1763,83.1,84.7,41.8,15.0,35.0,77.6,81.6,62,84.6,20.0,43.3,42.0,82.5,QS World University Rankings,Times Higher Education World University Rankings,42
UNIV_372973,Guangzhou Catholic University,Germany,Europe,2021,Social Sciences & Management,15720,4684,770,20.9,28.4,1341,4492,84.2,79.9,41.5,15.0,35.5,85.5,75.0,63,81.4,20.0,72.9,42.6,83.5,QS World University Rankings,Times Higher Education World University Rankings,50
UNIV_372973,Guangzhou Catholic University,Germany,Europe,2022,Social Sciences & Management,15720,4684,770,20.5,28.7,306,1071,85.6,84.1,42.6,15.0,35.9,82.3,81.4,64,84.9,20.0,56.9,43.0,84.9,QS World University Rankings,Times Higher Education World University Rankings,45
UNIV_372973,Guangzhou Catholic University,Germany,Europe,2023,Social Sciences & Management,15720,4684,770,20.5,29.2,801,2923,86.9,84.2,42.6,15.0,36.5,81.9,81.2,65,86.3,20.0,42.3,43.8,86.2,QS World University Rankings,Times Higher Education World University Rankings,45
UNIV_372973,Guangzhou Catholic University,Germany,Europe,2024,Social Sciences & Management,15720,4684,770,20.5,29.8,534,2029,89.0,86.7,42.6,15.0,37.2,77.7,88.3,66,90.0,20.0,82.4,44.7,88.3,QS World University Rankings,Times Higher Education World University Rankings,19
UNIV_753338,Federal Daejeon University,Netherlands,Europe,2020,Arts & Humanities,23225,7687,1319,18.1,31.3,2592,8294,76.6,79.5,49.3,15.0,39.1,78.9,72.9,63,73.4,20.0,66.5,47.0,82.7,QS World University Rankings,Times Higher Education World University Rankings,29
UNIV_753338,Federal Daejeon University,Netherlands,Europe,2021,Arts & Humanities,23225,7687,1319,18.2,31.6,2092,7008,77.3,74.4,49.0,15.0,39.5,87.4,68.6,63,76.3,20.0,44.9,47.4,83.5,QS World University Rankings,Times Higher Education World University Rankings,50
UNIV_753338,Federal Daejeon University,Netherlands,Europe,2022,Arts & Humanities,23225,7687,1319,18.0,32.5,2340,8190,78.9,81.4,49.6,15.0,40.6,89.3,77.1,64,80.4,20.0,48.6,48.8,85.2,QS World University Rankings,Times Higher Education World University Rankings,29
UNIV_753338,Federal Daejeon University,Netherlands,Europe,2023,Arts & Humanities,23225,7687,1319,17.8,32.6,2160,7884,80.3,82.1,50.2,15.0,40.8,87.2,80.1,65,78.8,20.0,79.0,48.9,86.7,QS World University Rankings,Times Higher Education World University Rankings,26
UNIV_753338,Federal Daejeon University,Netherlands,Europe,2024,Arts & Humanities,23225,7687,1319,17.7,33.0,2996,11384,81.2,79.9,50.4,15.5,41.2,90.1,74.3,66,78.8,20.0,82.8,49.5,87.7,QS World University Rankings,Times Higher Education World University Rankings,39
UNIV_092540,Philadelphia University of Science and Technology,United Kingdom,Europe,2020,Engineering & Technology,26231,9757,1784,15.4,35.6,661,2115,83.2,81.2,56.9,15.0,44.5,79.3,76.3,70,80.0,20.0,76.1,53.4,83.2,QS World University Rankings,Times Higher Education World University Rankings,17
UNIV_092540,Philadelphia University of Science and Technology,United Kingdom,Europe,2021,Engineering & Technology,26231,9757,1784,15.2,36.0,544,1822,83.9,79.0,57.4,15.0,45.0,75.9,75.0,71,83.6,20.0,75.1,54.0,83.9,QS World University Rankings,Times Higher Education World University Rankings,29
UNIV_092540,Philadelphia University of Science and Technology,United Kingdom,Europe,2022,Engineering & Technology,26231,9757,1784,15.1,36.3,1684,5894,86.1,87.3,57.7,15.0,45.4,78.9,87.8,72,85.2,20.0,85.2,54.4,86.1,QS World University Rankings,Times Higher Education World University Rankings,13
UNIV_092540,Philadelphia University of Science and Technology,United Kingdom,Europe,2023,Engineering & Technology,26231,9757,1784,14.6,36.8,212,773,87.3,87.6,59.1,15.0,46.0,82.5,87.6,73,86.8,20.0,77.6,55.2,87.3,QS World University Rankings,Times Higher Education World University Rankings,15
UNIV_092540,Philadelphia University of Science and Technology,United Kingdom,Europe,2024,Engineering & Technology,26231,9757,1784,14.7,37.3,1211,4601,88.3,82.7,58.8,15.0,46.6,84.6,75.9,74,86.9,20.0,75.7,55.9,88.3,QS World University Rankings,Times Higher Education World University Rankings,19
UNIV_819997,Central Bonn University,United Kingdom,Europe,2020,Social Sciences & Management,22437,7493,1591,14.7,31.6,2000,6400,81.4,76.6,58.8,15.0,39.5,70.1,70.6,70,81.5,20.0,62.3,47.4,81.8,QS World University Rankings,Times Higher Education World University Rankings,61
UNIV_819997,Central Bonn University,United Kingdom,Europe,2021,Social Sciences & Management,22437,7493,1591,14.6,32.3,1582,5299,83.5,78.5,59.1,15.0,40.4,77.1,77.8,71,84.9,20.0,60.4,48.4,83.9,QS World University Rankings,Times Higher Education World University Rankings,29
UNIV_819997,Central Bonn University,United Kingdom,Europe,2022,Social Sciences & Management,22437,7493,1591,14.5,32.6,1409,4931,84.8,80.0,59.4,15.0,40.8,77.6,73.3,72,82.3,20.0,51.2,48.9,85.2,QS World University Rankings,Times Higher Education World University Rankings,29
UNIV_819997,Central Bonn University,United Kingdom,Europe,2023,Social Sciences & Management,22437,7493,1591,14.3,32.9,1719,6274,86.7,85.0,60.0,15.0,41.1,83.6,81.3,73,83.4,20.0,43.1,49.3,87.2,QS World University Rankings,Times Higher Education World University Rankings,17
UNIV_819997,Central Bonn University,United Kingdom,Europe,2024,Social Sciences & Management,22437,7493,1591,13.9,33.4,1492,5669,87.6,86.2,61.1,15.0,41.8,77.3,87.2,74,88.6,20.0,50.4,50.1,88.1,QS World University Rankings,Times Higher Education World University Rankings,24
UNIV_780383,International Kanpur University,Switzerland,Europe,2020,Social Sciences & Management,20707,5922,1078,19.7,26.8,1381,4419,80.8,83.2,44.8,15.0,33.5,84.6,80.7,63,79.3,20.0,91.2,40.2,82.9,QS World University Rankings,Times Higher Education World University Rankings,24
UNIV_780383,International Kanpur University,Switzerland,Europe,2021,Social Sciences & Management,20707,5922,1078,19.7,27.6,2111,7071,81.5,80.8,44.8,15.0,34.5,84.6,76.9,63,77.3,20.0,63.9,41.4,83.7,QS World University Rankings,Times Higher Education World University Rankings,39
UNIV_780383,International Kanpur University,Switzerland,Europe,2022,Social Sciences & Management,20707,5922,1078,19.4,27.3,3067,10734,83.0,81.6,45.7,17.9,34.1,81.6,77.7,64,83.1,20.0,68.4,41.0,85.2,QS World University Rankings,Times Higher Education World University Rankings,29
UNIV_780383,International Kanpur University,Switzerland,Europe,2023,Social Sciences & Management,20707,5922,1078,19.4,28.3,2826,10314,84.1,86.3,45.7,17.2,35.4,73.7,81.9,65,85.3,20.0,59.4,42.5,86.4,QS World University Rankings,Times Higher Education World University Rankings,39
UNIV_780383,International Kanpur University,Switzerland,Europe,2024,Social Sciences & Management,20707,5922,1078,19.4,28.6,2358,8960,85.5,87.2,45.7,15.0,35.8,87.6,81.3,66,80.5,20.0,66.4,42.9,87.8,QS World University Rankings,Times Higher Education World University Rankings,35
UNIV_133940,Wuhan University of Applied Sciences,United Kingdom,Europe,2020,Social Sciences & Management,39779,14996,2724,15.3,36.1,1885,6032,79.4,80.1,57.2,15.0,45.1,78.0,72.9,68,80.5,20.0,65.1,54.2,81.4,QS World University Rankings,Times Higher Education World University Rankings,77
UNIV_133940,Wuhan University of Applied Sciences,United Kingdom,Europe,2021,Social Sciences & Management,39779,14996,2724,14.9,36.1,2558,8569,81.8,83.5,58.3,15.0,45.1,76.2,77.0,70,79.6,20.0,80.2,54.2,83.9,QS World University Rankings,Times Higher Education World University Rankings,29
UNIV_133940,Wuhan University of Applied Sciences,United Kingdom,Europe,2022,Social Sciences & Management,39779,14996,2724,15.0,36.6,2027,7094,83.5,83.6,58.0,15.0,45.8,89.4,77.8,71,81.7,20.0,67.6,54.9,85.6,QS World University Rankings,Times Higher Education World University Rankings,19
UNIV_133940,Wuhan University of Applied Sciences,United Kingdom,Europe,2023,Social Sciences & Management,39779,14996,2724,14.6,37.0,2325,8486,84.3,81.2,59.1,15.0,46.2,73.7,78.2,72,81.5,20.0,40.1,55.5,86.4,QS World University Rankings,Times Higher Education World University Rankings,39
UNIV_133940,Wuhan University of Applied Sciences,United Kingdom,Europe,2024,Social Sciences & Management,39779,14996,2724,14.5,37.5,1619,6152,84.9,83.3,59.4,15.0,46.9,86.1,81.3,72,85.3,20.0,64.9,56.2,87.1,QS World University Rankings,Times Higher Education World University Rankings,61
